time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/entropy_loss,train/explained_variance,train/learning_rate,train/policy_loss,train/n_updates,train/value_loss,eval/mean_reward,eval/mean_ep_length
31,159750,118,334,-3.2617690563201904,-9.635285377502441,0.0001680125930738094,0.0026080217212438583,124,0.0018913316307589412,,
32,161028,122,334,-3.2635300159454346,-4.1871795654296875,0.000166948178501824,0.004667762666940689,125,0.0014301593182608485,,
33,162306,126,333,-3.2612762451171875,-5.9472270011901855,0.00016588376392983857,0.0032339170575141907,126,0.0014188108034431934,,
34,163584,130,333,-3.2614963054656982,-11.002382278442383,0.0001648193493578532,0.0027983863838016987,127,0.0018057826673611999,,
35,164862,134,332,-3.2658603191375732,-4.825816631317139,0.00016375493478586778,-0.013678394258022308,128,0.00152150122448802,,
36,166140,138,331,-3.263950824737549,-13.602046012878418,0.0001626905202138824,-0.0038881003856658936,129,0.0012394733494147658,,
37,167418,142,330,-3.2705130577087402,-6.822098731994629,0.00016162610564189698,0.016558770090341568,130,0.0014512685593217611,,
38,168696,147,330,-3.2614879608154297,-6.613711357116699,0.00016056169106991154,0.005682671908289194,131,0.0015282485401257873,,
39,169974,151,329,-3.260300397872925,-9.880457878112793,0.00015949727649792613,-0.006406327243894339,132,0.001664336072281003,,
40,171252,155,328,-3.2614190578460693,-9.624028205871582,0.00015843286192594074,0.0038289411459118128,133,0.0014178019482642412,,
41,172530,159,327,-3.264085292816162,-8.425052642822266,0.00015736844735395533,-0.006147142965346575,134,0.0014167774934321642,,
42,173808,164,327,-3.254499912261963,-4.096432209014893,0.00015630403278196991,0.0017992208013311028,135,0.0014427624410018325,,
43,175086,168,326,-3.2563281059265137,-9.850208282470703,0.0001552396182099845,0.004099944140762091,136,0.001537249656394124,,
44,176364,172,326,-3.2550041675567627,-6.39277458190918,0.0001541752036379991,0.004070744384080172,137,0.00130384077783674,,
45,177642,176,326,-3.255458116531372,-8.156301498413086,0.0001531107890660137,0.0007715836982242763,138,0.0015158025780692697,,
46,178920,180,325,-3.2589235305786133,-6.920847415924072,0.0001520463744940283,-0.006322720553725958,139,0.0018043707823380828,,
47,180198,184,325,-3.254772663116455,-6.35693359375,0.00015098195992204288,-0.008762961253523827,140,0.0016591515159234405,,
48,181476,188,325,-3.246654510498047,-0.39241015911102295,0.00014991754535005747,0.00017326725355815142,141,0.009043063968420029,,
49,182754,192,325,-3.2534749507904053,-1.0814948081970215,0.00014885313077807205,-0.011628958396613598,142,0.0029945208225399256,,
50,184032,196,325,-3.2487926483154297,-3.6104679107666016,0.00014778871620608664,-0.02470236085355282,143,0.0018740592058748007,,
